id,formula,sources
EVODEX-F632,"{'N': -1, 'O': -2, 'C': -8, 'P': 1, 'H': -12}",EVODEX-P1683
EVODEX-F633,"{'O': -1, 'C': 8, 'N': 1, 'H': 5}",EVODEX-P1690
EVODEX-F634,"{'N': 1, 'O': -3, 'C': 2, 'P': -1, 'H': 4}",EVODEX-P1694
EVODEX-F635,"{'N': 1, 'O': 4, 'C': 2, 'P': 1, 'H': 8}",EVODEX-P1696
EVODEX-F636,"{'O': 2, 'C': -4, 'H': -2}",EVODEX-P1701
EVODEX-F637,"{'O': -2, 'C': 4, 'H': 2}",EVODEX-P1703
EVODEX-F638,"{'O': 2, 'C': 6, 'N': 2, 'H': 16}",EVODEX-P1710
EVODEX-F639,"{'N': 2, 'O': 2, 'C': 6, 'H': 15}",EVODEX-P1712
EVODEX-F640,"{'N': 2, 'O': 1, 'C': 6, 'H': 13}",EVODEX-P1715
EVODEX-F641,"{'O': 1, 'C': 6, 'N': 2, 'H': 14}",EVODEX-P1716
EVODEX-F642,"{'O': -3, 'C': -18, 'N': -2, 'H': -20}",EVODEX-P1719
EVODEX-F643,"{'O': 2, 'C': 8, 'N': 5, 'H': 15}",EVODEX-P1720
EVODEX-F644,"{'O': -2, 'C': -18, 'N': -2, 'H': -18}",EVODEX-P1721
EVODEX-F645,"{'O': -2, 'C': -8, 'N': -5, 'H': -15}",EVODEX-P1722
EVODEX-F646,"{'O': -1, 'C': -5, 'N': -4, 'H': -2}",EVODEX-P1727
EVODEX-F647,"{'N': -2, 'O': -8, 'C': -6, 'P': -2, 'H': -8}",EVODEX-P1732
EVODEX-F648,"{'O': 4, 'C': 3, 'H': 6}",EVODEX-P1734
EVODEX-F649,"{'O': 5, 'C': 6, 'H': 9}",EVODEX-P1738
EVODEX-F650,"{'O': 5, 'C': 6, 'H': 8}",EVODEX-P1739
EVODEX-F651,"{'O': 15, 'C': 18, 'H': 30}",EVODEX-P1743
EVODEX-F652,"{'O': 21, 'C': 24, 'H': 42}",EVODEX-P1745
EVODEX-F653,"{'N': -2, 'C': -7, 'H': -7}",EVODEX-P1750
EVODEX-F654,"{'C': -7, 'N': -2, 'H': -6}",EVODEX-P1751
EVODEX-F655,"{'O': -1, 'C': 3, 'P': -2, 'N': -2, 'H': 8}",EVODEX-P1754
EVODEX-F656,"{'N': 4, 'O': 2, 'C': 5, 'H': 3}",EVODEX-P1757
EVODEX-F657,"{'O': 2, 'C': 5, 'N': 4, 'H': 2}",EVODEX-P1761
EVODEX-F658,"{'O': -15, 'C': -16, 'P': -2, 'N': -5, 'H': -23}",EVODEX-P1775
EVODEX-F659,"{'O': -7, 'C': -3, 'P': -1, 'H': -7}",EVODEX-P1780
EVODEX-F660,"{'N': 5, 'O': 3, 'C': 7, 'P': 1, 'H': 8}",EVODEX-P1781
EVODEX-F661,"{'O': -4, 'C': -6, 'H': -10}",EVODEX-P1784
EVODEX-F662,"{'O': 4, 'C': 6, 'H': 10}",EVODEX-P1786
EVODEX-F663,"{'N': -8, 'O': -5, 'C': -19, 'H': -20}",EVODEX-P1806
EVODEX-F664,"{'N': 3, 'O': -5, 'C': 9, 'P': -2, 'H': 5}",EVODEX-P1809
EVODEX-F665,"{'N': 8, 'O': 8, 'C': 19, 'P': 1, 'H': 21}",EVODEX-P1810
EVODEX-F666,"{'N': 8, 'O': 4, 'C': 19, 'H': 18}",EVODEX-P1811
EVODEX-F667,"{'N': -6, 'O': -13, 'C': -15, 'P': -2, 'H': -22}",EVODEX-P1813
EVODEX-F668,"{'N': -8, 'O': -1, 'C': -19, 'P': 1, 'H': -17}",EVODEX-P1814
EVODEX-F669,"{'N': -3, 'O': 5, 'C': -9, 'P': 2, 'H': -5}",EVODEX-P1817
EVODEX-F670,"{'O': -4, 'C': -19, 'N': -8, 'H': -18}",EVODEX-P1820
EVODEX-F671,"{'O': 6, 'C': 5, 'P': 2, 'N': 4, 'H': 6}","EVODEX-P1821,EVODEX-P1838"
EVODEX-F672,"{'N': -4, 'O': -6, 'C': -5, 'P': -2, 'H': -6}",EVODEX-P1828
EVODEX-F673,"{'N': 1, 'C': 5, 'P': -1, 'H': 6}",EVODEX-P1829
EVODEX-F674,"{'N': 1, 'H': 3}",EVODEX-P1830
EVODEX-F675,"{'N': -1, 'O': -7, 'C': -5, 'P': -1, 'H': -10}",EVODEX-P1832
EVODEX-F676,"{'N': -4, 'O': -10, 'C': -10, 'P': -2, 'H': -12}",EVODEX-P1833
EVODEX-F677,"{'N': 1, 'O': -4, 'P': -1}",EVODEX-P1834
EVODEX-F678,"{'O': -1, 'N': 1, 'H': 1}",EVODEX-P1836
EVODEX-F679,"{'O': 9, 'C': 10, 'P': 2, 'N': 6, 'H': 16}",EVODEX-P1840
EVODEX-F680,"{'C': -8, 'N': -1, 'H': -7}",EVODEX-P1843
EVODEX-F681,"{'O': 1, 'C': -8, 'N': -1, 'H': -5}",EVODEX-P1844
EVODEX-F682,"{'O': 7, 'C': 3, 'P': 1, 'H': 9}",EVODEX-P1845
EVODEX-F683,"{'O': 4, 'P': 1, 'N': -1, 'H': 2}",EVODEX-P1849
EVODEX-F684,"{'N': -1, 'O': -8, 'C': -4, 'P': -2, 'H': -11}",EVODEX-P1854
EVODEX-F685,"{'N': 1, 'O': 3, 'C': 6, 'H': 5}",EVODEX-P1855
EVODEX-F686,"{'S': 1, 'O': -2, 'C': -2, 'H': -2}",EVODEX-P1860
EVODEX-F687,"{'S': 1, 'H': 2}",EVODEX-P1861
EVODEX-F688,"{'N': -5, 'O': -13, 'C': -15, 'P': -2, 'H': -22}",EVODEX-P1862
EVODEX-F689,"{'N': -2, 'O': -1, 'C': -6, 'H': -7}",EVODEX-P1865
EVODEX-F690,"{'N': -2, 'C': -6, 'H': -5}",EVODEX-P1866
EVODEX-F691,"{'N': 5, 'O': 13, 'C': 15, 'P': 2, 'H': 21}",EVODEX-P1867
EVODEX-F692,"{'N': -5, 'O': -7, 'C': 6, 'P': -1, 'H': 20}",EVODEX-P1875
EVODEX-F693,"{'O': 4, 'C': 16, 'P': 1, 'H': 35}",EVODEX-P1877
EVODEX-F694,"{'N': 2, 'O': -4, 'C': 1, 'P': -1, 'H': -1}",EVODEX-P1881
EVODEX-F695,"{'O': -37, 'C': -62, 'H': -42}",EVODEX-P1884
EVODEX-F696,"{'O': -9, 'C': -14, 'H': -10}",EVODEX-P1885
EVODEX-F697,"{'O': 37, 'C': 62, 'H': 42}",EVODEX-P1886
EVODEX-F698,"{'O': -8, 'C': -14, 'H': -8}",EVODEX-P1887
EVODEX-F699,"{'O': 3, 'C': 4, 'H': 5}",EVODEX-P1890
EVODEX-F700,"{'O': -3, 'C': -15, 'N': -2, 'H': -22}",EVODEX-P1897
EVODEX-F701,"{'O': 2, 'C': 4, 'N': 2, 'H': 6}",EVODEX-P1898
EVODEX-F702,"{'O': -2, 'C': -15, 'N': -2, 'H': -20}",EVODEX-P1899
EVODEX-F703,"{'O': -5, 'C': -8, 'N': -1, 'H': -13}",EVODEX-P1904
EVODEX-F704,"{'O': -6, 'C': -8, 'N': -1, 'H': -15}",EVODEX-P1905
EVODEX-F705,"{'O': 5, 'C': 8, 'N': 1, 'H': 13}",EVODEX-P1906
EVODEX-F706,"{'O': 5, 'C': 4, 'N': -1, 'H': 7}",EVODEX-P1907
